content,name,url,year
 陕西省延川县文安驿公社梁家河大队知青、党支部书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1969－1975"
 清华大学化工系基本有机合成专业学习,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1975－1979"
 国务院办公厅、中央军委办公厅秘书（现役）,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1979－1982"
 河北省正定县委副书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1982－1983"
 河北省正定县委书记，正定县武装部第一政委、党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1983－1985"
 福建省厦门市委常委、副市长,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1985－1988"
 福建省宁德地委书记，宁德军分区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1988－1990"
 福建省福州市委书记、市人大常委会主任，福州军分区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1990－1993"
 福建省委常委，福州市委书记、市人大常委会主任，福州军分区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1993－1995"
 福建省委副书记，福州市委书记、市人大常委会主任，福州军分区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1995－1996"
 福建省委副书记，福建省高炮预备役师第一政委,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1996－1999"
 福建省委副书记、代省长，南京军区国防动员委员会副主任，福建省国防动员委员会主任，福建省高炮预备役师第一政委,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	1999－2000"
 福建省委副书记、省长，南京军区国防动员委员会副主任，福建省国防动员委员会主任，福建省高炮预备役师第一政委,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2000－2002"
清华大学人文社会学院马克思主义理论与思想政治教育专业在职研究生班学习，获法学博士学位）,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	（1998－2002"
 浙江省委副书记、代省长，南京军区国防动员委员会副主任，浙江省国防动员委员会主任,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2002－2002"
 浙江省委书记、代省长，浙江省军区党委第一书记，南京军区国防动员委员会副主任，浙江省国防动员委员会主任,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2002－2003"
 浙江省委书记、省人大常委会主任，浙江省军区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2003－2007"
 上海市委书记，上海警备区党委第一书记,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2007－2007"
 中央政治局常委、中央书记处书记，中央党校校长,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2007－2008"
 中央政治局常委、中央书记处书记，中华人民共和国副主席，中央党校校长,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2008－2010"
 中央政治局常委、中央书记处书记，中华人民共和国副主席，中共中央军事委员会副主席，中华人民共和国中央军事委员会副主席，中央党校校长,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2010－2012"
 中央委员会总书记，中共中央军事委员会主席，中华人民共和国副主席，中华人民共和国中央军事委员会副主席,习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,"
	2012－2013"
"
	2013－　中央委员会总书记，中共中央军事委员会主席，中华人民共和国主席，中华人民共和国中央军事委员会主席",习近平同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html,
 安徽省凤阳县大庙公社东陵大队知青,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1974－1976"
 安徽省凤阳县大庙公社大庙大队党支部书记,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1976－1978"
 北京大学法律系学习，校学生会负责人,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1978－1982"
 北京大学团委书记，共青团中央常委,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1982－1983"
 共青团中央学校部部长兼全国学联秘书长,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1983－1983"
 共青团中央书记处候补书记,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1983－1985"
 共青团中央书记处书记兼全国青联副主席（其间：1991.09－1991.11中央党校省部级干部进修班学习）,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1985－1993"
 共青团中央书记处第一书记兼中国青,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1993－1998"
北京大学经济学院经济学专业在职研究生学习，获经济学硕士、博士学位）,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	（1988－1994"
 河南省委副书记、代省长,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1998－1999"
 河南省委副书记、省长,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	1999－2002"
 河南省委书记、省长,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2002－2003"
 河南省委书记、省人大常委会主任,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2003－2004"
 辽宁省委书记,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2004－2005"
 辽宁省委书记、省人大常委会主任,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2005－2007"
 中央政治局常委,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2007－2008"
 中央政治局常委，国务院副总理、党组副书记,李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,"
	2008－2013"
"
	2013－　中央政治局常委，国务院总理、党组书记",李克强同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html,
 河北省石家庄地区财贸学校物价专业学习,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1971－1972"
 河北省石家庄地区商业局办公室干事、副主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1972－1976"
 河北省石家庄地委办公室资料科干事、科长（其间：1980－1983,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1976－1983"
 河北省无极县委书记,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1983－1985"
 河北省石家庄地委副书记、行署专员,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1985－1986"
 共青团河北省委书记（其间：1988.02－1988.08中央党校党建理论培训班学习）,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1986－1990"
 河北省承德地委副书记、行署专员,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1990－1993"
 河北省委常委、秘书长,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1993－1997"
中央党校函授学院经济专业学习）,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	（1992－1994"
 河北省委常委、农村工作领导小组副组长,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1997－1998"
 陕西省委常委，农村工作领导小组副组长、办公室主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	1998－2000"
中国社会科学院研究生院财贸系商业经济专业在职研究生课程班学习）,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	（1996－1998"
 陕西省委常委、组织部部长,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2000－2002"
 陕西省委常委，西安市委书记、市人大常委会主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2002－2002"
 陕西省委副书记，西安市委书记、市人大常委会主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2002－2003"
 黑龙江省委副书记,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2003－2004"
 黑龙江省委副书记、副省长（其间：2005－2007,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2004－2007"
 黑龙江省委副书记、代省长,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2007－2008"
 黑龙江省委副书记、省长,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2008－2010"
 贵州省委书记、省人大常委会主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2010－2012"
 中央办公厅主持常务工作的副主任（正部长级），中央办公厅主任，中央直属机关工委书记，贵州省人大常委会主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2012－2012"
 中央政治局委员、中央书记处书记，中央办公厅主任，中央直属机关工委书记,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2012－2014"
 中央政治局委员、中央书记处书记，中央办公厅主任，中央国家安全委员会办公室主任，中央直属机关工委书记,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2014－2017"
 中央政治局常委，中央国家安全委员会办公室主任,栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,"
	2017－2018"
"
	2018－　中央政治局常委，十三届全国人大常委会委员长",栗战书同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html,
 安徽省宿县地区食品厂工人、车间负责人,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1972－1976"
 安徽省宿县地区“五七”干校教员，教研室副主任，校党委委员,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1976－1979"
 中央党校理论宣传干部班政治经济学专业学习,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1979－1980"
 安徽省宿县地委党校教员,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1980－1981"
 共青团安徽省宿县地委副书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1981－1982"
 共青团安徽省委宣传部部长,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1982－1983"
 共青团安徽省委副书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1983－1984"
 安徽省体委副主任、党组副书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1984－1987"
 安徽省体委主任、党组书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1987－1988"
 安徽省铜陵市委副书记、代市长、市长（其间：1989－1992,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1988－1992"
 安徽省计委主任、党组书记，省长助理,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1992－1993"
 安徽省副省长,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1993－1993"
 安徽省委常委、副省长（其间：1993－1995,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1993－1998"
 安徽省委副书记、副省长,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1998－1999"
 国家发展计划委员会副主任、党组成员（其间：2001.09－2001.11中央党校省部级干部进修班学习）,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	1999－2003"
 国务院副秘书长（负责国务院办公厅常务工作，正部长级）、机关党组副书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2003－2005"
 重庆市委书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2005－2006"
 重庆市委书记、市人大常委会主任,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2006－2007"
 中央政治局委员，重庆市委书记、市人大常委会主任,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2007－2007"
 中央政治局委员，广东省委书记,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2007－2012"
 中央政治局委员,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2012－2013"
 中央政治局委员，国务院副总理、党组成员,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2013－2017"
 中央政治局常委，国务院副总理、党组成员,汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,"
	2017－2018"
"
	2018－　中央政治局常委，十三届全国政协主席",汪洋同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html,
 上海师范大学干校外语培训班学习,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1972－1977"
 上海市出版局干部,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1977－1978"
 复旦大学国际政治系国际政治专业硕士研究生,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1978－1981"
 复旦大学国际政治系教师、副教授、教授,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1981－1989"
 复旦大学国际政治系主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1989－1994"
 复旦大学法学院院长,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1994－1995"
 中央政策研究室政治组组长,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1995－1998"
 中央政策研究室副主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	1998－2002"
 中央政策研究室主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	2002－2007"
 中央书记处书记，中央政策研究室主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	2007－2012"
 中央政治局委员，中央政策研究室主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	2012－2014"
 中央政治局委员，中央政策研究室主任，中央全面深化改革领导小组办公室主任,王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,"
	2014－2017"
"
	2017－　中央政治局常委、中央书记处书记，中央政策研究室主任，中央全面深化改革领导小组办公室主任",王沪宁同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html,
 青海省贵德县河东乡贡巴大队知青,赵乐际同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608809.html,"
	1974－1975"
 青海省商业厅通讯员,赵乐际同志简历,http://cpc.people.com.cn/n1/2017/1025/c414940-29608809.html,"
	1975－1977"
