additional_info,current_status,name,picture_url,publish_date,short_bio,url
"
	中共第十五届中央候补委员，十六届、十七届、十八届、十九届中央委员，十七届中央政治局委员、常委、中央书记处书记，十八届、十九届中央政治局委员、常委、中央委员会总书记。第十一届全国人大第一次会议当选为中华人民共和国副主席。十七届五中全会增补为中共中央军事委员会副主席。第十一届全国人大常委会第十七次会议任命为中华人民共和国中央军事委员会副主席。十八届一中全会任中共中央军事委员会主席。第十二届全国人大第一次会议当选为中华人民共和国主席、中华人民共和国中央军事委员会主席。十九届一中全会任中共中央军事委员会主席。第十三届全国人大第一次会议当选为中华人民共和国主席、中华人民共和国中央军事委员会主席。","
	现任中国共产党中央委员会总书记，中共中央军事委员会主席，中华人民共和国主席，中华人民共和国中央军事委员会主席。",习近平同志简历,http://www.people.com.cn/mediafile/pic/20180317/6/9692527010864580298.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	习近平，男，汉族，1953年6月生，陕西富平人，1969年1月参加工作，1974年1月加入中国共产党，清华大学人文社会学院马克思主义理论与思想政治教育专业毕业，在职研究生学历，法学博士学位。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html
"
	中共第十五届、十六届、十七届、十八届、十九届中央委员，十七届、十八届、十九届中央政治局委员、常委。第八届全国人大常委会委员。","
	现任中共十九届中央政治局常委，国务院总理、党组书记。",李克强同志简历,http://www.people.com.cn/mediafile/pic/20171025/75/1212684816983624131.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	李克强，男，汉族，1955年7月生，安徽定远人，1974年3月参加工作，1976年5月加入中国共产党，北京大学法律系和经济学院经济学专业毕业，在职研究生学历，法学学士、经济学博士学位。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html
"
	中共第十六届、十七届中央候补委员，十八届、十九届中央委员，十八届中央政治局委员、中央书记处书记，十九届中央政治局委员、常委。第十三届全国人大常委会委员长。","
	现任中共十九届中央政治局常委，十三届全国人大常委会委员长。",栗战书同志简历,http://www.people.com.cn/mediafile/pic/20180317/64/8897302461661648832.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	栗战书，男，汉族，1950年8月生，河北平山人，1972年12月参加工作，1975年4月加入中国共产党，河北师范大学夜大学政教系毕业，在职大学学历，高级工商管理硕士学位。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html
"
	中共第十六届中央候补委员，十七届、十八届、十九届中央委员，十七届、十八届中央政治局委员，十九届中央政治局委员、常委。第十三届全国政协主席。","
	现任中共十九届中央政治局常委，十三届全国政协主席。",汪洋同志简历,http://www.people.com.cn/mediafile/pic/20171025/88/6571211079673053868.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	汪洋，男，汉族，1955年3月生，安徽宿州人，1972年6月参加工作，1975年8月加入中国共产党，中央党校大学学历，工学硕士学位。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html
"
	第十六届、十七届、十八届、十九届中央委员，十七届中央书记处书记，十八届中央政治局委员，十九届中央政治局委员、常委、中央书记处书记。","
	现任中央政治局常委、中央书记处书记，中央政策研究室主任，中央全面深化改革领导小组办公室主任。",王沪宁同志简历,http://www.people.com.cn/mediafile/pic/20171025/85/17055820954365662105.jpg,"
	（中国共产党新闻网资料，2017年10月） ","
	王沪宁，男，汉族，1955年10月生，山东莱州人，1977年2月参加工作，1984年4月加入中国共产党，复旦大学国际政治系国际政治专业毕业，研究生学历，法学硕士学位，教授。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html
"
	第十六届、十七届、十八届、十九届中央委员，十八届中央政治局委员、中央书记处书记，十九届中央政治局委员、常委。第十九届中央纪委委员、常委、书记。","
	现任中央政治局常委，中央纪律检查委员会书记。",赵乐际同志简历,http://www.people.com.cn/mediafile/pic/20171025/53/17156660490713084633.jpg,"
	（中国共产党新闻网资料，2017年10月）","
	赵乐际，男，汉族，1957年3月生，陕西西安人，1974年9月参加工作，1975年7月加入中国共产党，中央党校研究生学历。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608809.html
"
	中共第十六届、十七届、十八届、十九届中央委员，十八届中央政治局委员，十九届中央政治局委员、常委。","
	现任中共十九届中央政治局常委，国务院副总理、党组副书记。",韩正同志简历,http://www.people.com.cn/mediafile/pic/20171025/67/1715958366424779007.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	韩正，男，汉族，1954年4月生，浙江慈溪人，1975年12月参加工作，1979年5月加入中国共产党，华东师范大学国际问题研究所国际关系与世界经济专业毕业，在职研究生学历，经济学硕士学位，高级经济师。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608810.html
"
	第十八届中央候补委员，十九届中央委员，十九届中央政治局委员、中央书记处书记。","
	现任中央政治局委员、中央书记处书记，中央办公厅主任兼国家主席办公室主任，中央直属机关工委书记。",丁薛祥同志简历,http://www.people.com.cn/mediafile/pic/20171025/6/3147311745683645330.jpg,"
	（中国共产党新闻网资料，2017年11月） ","
	丁薛祥，男，汉族，1962年9月生，江苏南通人，1982年8月参加工作，1984年10月加入中国共产党，复旦大学管理学院行政管理专业毕业，在职研究生学历，理学硕士学位，教授级高级工程师。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608811.html
"
	中共第十六届、十七届、十八届、十九届中央委员，十九届中央政治局委员。第十二届、十三届全国人大常委会副委员长。第九届全国政协委员。","
	现任中共十九届中央政治局委员，十三届全国人大常委会副委员长。",王晨同志简历,http://www.people.com.cn/mediafile/pic/20180318/36/15392303051401897332.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	王晨，男，汉族，1950年12月生，北京市人，1969年1月参加工作，1969年12月加入中国共产党，中国社会科学院研究生院新闻系新闻业务专业毕业，研究生学历，文学硕士学位，高级编辑。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608812.html
"
	中共第十八届、十九届中央委员，十九届中央政治局委员。","
	现任中共十九届中央政治局委员，国务院副总理、党组成员，中央财经领导小组办公室主任。",刘鹤同志简历,http://www.people.com.cn/mediafile/pic/20180320/31/14352360186265366491.jpg,"
	（中国共产党新闻网资料，2018年3月）","
	刘鹤，男，汉族，1952年1月生，河北昌黎人，1969年4月参加工作，1976年12月加入中国共产党，中国人民大学工业经济系工业经济专业毕业，研究生学历，经济学、公共管理硕士学位，研究员，教授。",http://cpc.people.com.cn/n1/2017/1025/c414940-29608813.html
