name,province,url,gender,ethnic,dob_y,age,join_work_y,pob_p,join_party_y,edu_dg
蔡奇,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,男,汉族,1955.0,63.0,1973.0,福建,1975.0,博士
李伟,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5296.htm,男,汉族,1958.0,60.0,1975.0,江苏,1977.0,研究生
陈吉宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm,男,汉族,1964.0,54.0,,吉林,1984.0,博士
吉林,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4991.htm,男,汉族,1962.0,56.0,1987.0,上海,1984.0,研究生
张工,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm,男,汉族,1961.0,57.0,1983.0,北京,1992.0,研究生
阴和俊,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm,男,汉族,1963.0,55.0,,山西,,博士
张硕辅,北京,http://ldzl.people.com.cn/dfzlk/front/personPage6347.htm,男,汉族,1965.0,53.0,1988.0,湖南,1984.0,博士
张延昆,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5384.htm,男,汉族,1963.0,55.0,1985.0,河南,1985.0,研究生
林克庆,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5379.htm,男,汉族,1966.0,52.0,1988.0,湖北,1990.0,博士
杜飞进,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16637.htm,男,汉族,1960.0,58.0,1987.0,浙江,1984.0,博士
魏小东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4418.htm,男,汉族,1961.0,57.0,1983.0,福建,1983.0,本科
崔述强,北京,http://ldzl.people.com.cn/dfzlk/front/personPage14784.htm,男,汉族,1963.0,55.0,1985.0,北京,1988.0,博士
齐静,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4041.htm,女,汉族,1963.0,55.0,1985.0,安徽,1985.0,本科
