  group,name,province,publish_date,short_bio,title,url
top four,蔡奇,北京,"（人民网资料 截至2017年10月）
","

			　　蔡奇，男，汉族，1955年12月生，福建尤溪人，1973年3月参加工作，1975年8月加入中国共产党，福建师范大学经济法律学院政治经济学专业毕业，在职研究生学历，经济学博士学位。",北京市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm
top four,李伟,北京,"（人民网资料 截至2018年1月）
","

			　　李伟，男，汉族，1958年1月生，江苏张家港人，1977年7月入党，1975年6月参加工作，大学毕业(南京大学汉语言文学专业)，法学硕士。",北京市人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage5296.htm
top four,陈吉宁,北京,"（人民网资料 截至2018年1月）
","

			　　陈吉宁，男，汉族，生于1964年2月，吉林梨树人，1984年加入中国共产党，工学博士，教授。",北京市委副书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm
top four,吉林,北京,"（人民网资料 截至2018年1月）
","

			　　吉林，男，汉族，1962年4月生，上海市人，1984年5月入党，1987年7月参加工作，研究生毕业(中国人民大学法律系刑法专业)，法学硕士，副教授。",北京市政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4991.htm
party leader,蔡奇,北京,"（人民网资料 截至2017年10月）
","

			　　蔡奇，男，汉族，1955年12月生，福建尤溪人，1973年3月参加工作，1975年8月加入中国共产党，福建师范大学经济法律学院政治经济学专业毕业，在职研究生学历，经济学博士学位。",北京市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm
party leader,陈吉宁,北京,"（人民网资料 截至2018年1月）
","

			　　陈吉宁，男，汉族，生于1964年2月，吉林梨树人，1984年加入中国共产党，工学博士，教授。",北京市委副书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm
party leader,张工,北京,"（人民网资料 截至2017年10月）
","

			　　张工，男，汉族，1961年8月生，北京市人，1992年4月入党，1983年8月参加工作，在职研究生毕业(首都经济贸易大学企业管理专业)，经济学硕士，教授级高级工程师。",北京市委常委、常务副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm
party leader,阴和俊,北京,"（人民网资料 截至2017年10月）
","

			　　阴和俊，男，汉族，1963年1月生，山西古交人。研究生学历，工学博士，研究员，博士生导师。",北京市委常委、副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm
party leader,张硕辅,北京,"（人民网资料 截至2018年1月）
","

			　　张硕辅，男，汉族，1965年8月生，湖南长沙人，1988年6月参加工作，1984年6月入党，研究生学历，工学博士学位，高级工程师。",北京市委常委、市纪委书记，市监察委员会主任,http://ldzl.people.com.cn/dfzlk/front/personPage6347.htm
party leader,张延昆,北京,"（人民网资料 截至2015年10月）
","

			　　张延昆，男，汉族，1963年1月生，河南方城人，1985年4月入党，1985年8月参加工作，中央党校研究生毕业(中央党校法学理论专业)，高级管理人员工商管理硕士，高级政工师、经济师。",北京市委常委、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5384.htm
party leader,林克庆,北京,"（人民网资料 截至2017年2月）
","

			　　林克庆，男，汉族，1966年10月生，湖北仙桃人，1990年12月入党，1988年8月参加工作，在职研究生毕业(中国人民大学哲学院宗教学专业)，哲学博士，政工师。",北京市委常委,http://ldzl.people.com.cn/dfzlk/front/personPage5379.htm
party leader,杜飞进,北京,"（人民网资料 截至2017年5月）
","

			　　杜飞进，男，汉族，1960年9月生，浙江东阳人，1987年7月参加工作，1984年2月加入中国共产党，北京大学法律系和武汉大学法学院毕业，研究生学历，法学博士学位。",北京市委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage16637.htm
party leader,魏小东,北京,"（人民网资料 截至2017年4月）
","

			　　魏小东，男，汉族，1961年5月生，福建漳州人。大学学历，经济学学士。1983年5月加入中国共产党，1983年8月参加工作。",北京市委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4418.htm
party leader,崔述强,北京,"（人民网资料 截至2017年7月）
","

			　　崔述强，男，汉族，1963年5月生，北京人，1988年9月入党，1985年7月参加工作，大学毕业(北京财贸学院工商行政管理专业)，经济学博士，高级经济师。",北京市委常委、市委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage14784.htm
party leader,齐静,北京,"（人民网资料 截至2017年7月）
","

			　　齐静，女，汉族，1963年8月生，安徽无为人，1985年4月入党，1985年7月参加工作，大学毕业(中国政法大学法律专业)，法学学士。",北京市委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4041.htm
party leader,姜勇,北京,"（人民网资料 截至2018年1月）
","

			　　姜勇，男，汉族，1956年6月生，辽宁盖县人，1978年6月入党，1973年10月参加工作，在职研究生(国防大学研究生进修班)，中将军衔。",北京市委常委、北京卫戍区政委,http://ldzl.people.com.cn/dfzlk/front/personPage18645.htm
admin leader,张工,北京,"（人民网资料 截至2017年10月）
","

			　　张工，男，汉族，1961年8月生，北京市人，1992年4月入党，1983年8月参加工作，在职研究生毕业(首都经济贸易大学企业管理专业)，经济学硕士，教授级高级工程师。",北京市委常委、常务副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm
admin leader,阴和俊,北京,"（人民网资料 截至2017年10月）
","

			　　阴和俊，男，汉族，1963年1月生，山西古交人。研究生学历，工学博士，研究员，博士生导师。",北京市委常委、副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm
admin leader,张建东,北京,"（人民网资料 截至2014年11月）
","

			　　张建东，男，汉族，1962年7月出生，河北乐亭人，1982年12月加入中国共产党，1983年8月参加工作，北京师范大学教育学院教育经济与管理专业毕业，在职博士研究生学历，管理学博士，副教授。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage8298.htm
admin leader,隋振江,北京,"（人民网资料 截至2015年6月）
","

			　　隋振江，男，1963年8月生，汉族，辽宁大洼人，1984年4月入党，1985年8月参加工作，在职研究生（首都经济贸易大学企业管理专业），经济学硕士，经济师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4023.htm
admin leader,王宁,北京,"（人民网资料 截至2015年12月）
","

			　　王宁，男，1960年12月出生，汉族，山西清徐人，1983年3月参加工作，1987年2月加入中国共产党，在职研究生学历（北京大学经济学院金融专业），经济学硕士，高级政工师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4019.htm
admin leader,殷勇,北京,"（人民网资料 截至2018年1月）
","

			　　殷勇，男，汉族，1969年8月生，湖北武汉人，1994年5月入党，1997年1月参加工作，清华大学系统工程专业研究生毕业，工学博士。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage13886.htm
admin leader,卢彦,北京,"（人民网资料 截至2017年4月）
","

			　　卢彦，男，汉族，1963年3月生，江苏宝应人，1994年6月入党，1984年7月参加工作，北京商学院商业企业管理专业大学毕业，经济学博士，副教授。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage16627.htm
admin leader,杨斌,北京,"（人民网资料 截至2017年12月）
","

			　　杨斌，男，1961年12月生，汉族，山东昌邑人，1985年5月入党，1983年9月参加工作，北京建筑工程学院给排水专业大学毕业，在职研究生（中国人民大学产业经济专业），经济学博士，教授级高级工程师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage11002.htm
admin leader,王红,北京,"（人民网资料 截至2018年3月）
","

			　　王红，女，满族，1962年5月生，辽宁兴城人，2000年4月加入民革，1986年8月参加工作，大学毕业(辽宁大学国际金融专业)，公共管理硕士，高级经济师。",北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage18695.htm
