content,name,url,year
福建省永安县西洋公社插队知青,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1973-1975年
福建师范大学政教系政教专业学习,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1975-1978年
福建师范大学党委办公室干部,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1978-1983年
福建省委办公厅综合处干部、副处长,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1983-1987年
福建省委办公厅正处级秘书,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1987-1991年
福建省委政改办副主任,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1991-1992年
福建省委党建办副主任、省委办公厅厅务会议成员,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1992-1993年
福建省委办公厅副主任、厅务会议成员（其间：1994-1996年挂职任福建省三明市委副书记,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1993-1996年
1996.03-1996.07中央党校地厅级干部培训班学习）,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,
福建省三明市委副书记,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1996-1997年
（1994-1997年福建师范大学经济法律学院硕士研究生班学习）,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,
福建省三明市委副书记、副市长、市长,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1997-1999年
浙江省衢州市委副书记、市长,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,1999-2002年
（1998-2001年福建师范大学经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,
浙江省衢州市委书记、市人大常委会主任,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,2002-2004年
浙江省台州市委书记,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,2004-2007年
浙江省杭州市委副书记、市长,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,2007-2010年
浙江省委常委、组织部部长,蔡奇,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,2010-2013年
