group,link,name,province,title
top four,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,蔡奇,北京,市委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage5296.htm,李伟,北京,市人大主任
top four,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm,陈吉宁,北京,市长
top four,http://ldzl.people.com.cn/dfzlk/front/personPage4991.htm,吉林,北京,市政协主席
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,蔡奇,北京,书 　 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm,陈吉宁,北京,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm,张工,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm,阴和俊,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6347.htm,张硕辅,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5384.htm,张延昆,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5379.htm,林克庆,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16637.htm,杜飞进,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4418.htm,魏小东,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage14784.htm,崔述强,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4041.htm,齐静,北京,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18645.htm,姜勇,北京,其他常委：
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm,张工,北京,"
            
	      		副 市 长 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm,阴和俊,北京,"
            
	      		副 市 长 ： 
	      		
            	
	      	"
