age,dob_y,edu_dg,ethnic,gender,join_party_y,join_work_y,name,pob_p,province,url
65.0,1953.0,研究生,汉族,男,1974.0,1969.0,习近平,陕西,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608803.html
63.0,1955.0,研究生,汉族,男,1976.0,1974.0,李克强,安徽,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608804.html
68.0,1950.0,大学,汉族,男,1975.0,1972.0,栗战书,河北,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608805.html
63.0,1955.0,大学,汉族,男,1975.0,1972.0,汪洋,安徽,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608807.html
63.0,1955.0,研究生,汉族,男,1984.0,1977.0,王沪宁,山东,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608808.html
61.0,1957.0,研究生,汉族,男,1975.0,1974.0,赵乐际,陕西,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608809.html
64.0,1954.0,研究生,汉族,男,1979.0,1975.0,韩正,浙江,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608810.html
56.0,1962.0,研究生,汉族,男,1984.0,1982.0,丁薛祥,江苏,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608811.html
68.0,1950.0,研究生,汉族,男,1969.0,1969.0,王晨,北京,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608812.html
66.0,1952.0,研究生,汉族,男,1976.0,1969.0,刘鹤,河北,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608813.html
68.0,1950.0,大专,汉族,男,1967.0,,许其亮,山东,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608814.html
68.0,1950.0,研究生,汉族,女,1973.0,1969.0,孙春兰,河北,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608815.html
62.0,1956.0,大学,汉族,男,1982.0,1975.0,李希,甘肃,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608816.html
59.0,1959.0,研究生,汉族,男,1983.0,1976.0,李强,浙江,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608817.html
62.0,1956.0,大学,汉族,男,1976.0,1975.0,李鸿忠,山东,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608818.html
68.0,1950.0,研究生,汉族,男,1971.0,1968.0,杨洁篪,上海,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608819.html
65.0,1953.0,研究生,汉族,男,1973.0,1970.0,杨晓渡,上海,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608821.html
68.0,1950.0,大专,汉族,男,1969.0,,张又侠,陕西,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608822.html
65.0,1953.0,研究生,汉族,男,1978.0,1970.0,陈希,福建,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608823.html
63.0,1955.0,研究生,汉族,男,1976.0,1973.0,陈全国,河南,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608824.html
58.0,1960.0,研究生,汉族,男,1982.0,1981.0,陈敏尔,浙江,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608825.html
55.0,1963.0,大学,汉族,男,1983.0,1983.0,胡春华,湖北,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608827.html
64.0,1954.0,研究生,汉族,男,1974.0,1973.0,郭声琨,江西,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608828.html
62.0,1956.0,研究生,汉族,男,1976.0,1974.0,黄坤明,福建,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608829.html
63.0,1955.0,研究生,汉族,男,1975.0,1973.0,蔡奇,福建,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608831.html
64.0,1954.0,研究生,汉族,男,1973.0,1969.0,尤权,河北,central government,http://cpc.people.com.cn/n1/2017/1025/c414940-29608832.html
65.0,1953.0,研究生,汉族,男,1973.0,1970.0,张春贤,河南,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-3.html
61.0,1957.0,研究生,汉族,女,1981.0,1977.0,沈跃跃,浙江,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-4.html
67.0,1951.0,大学,汉族,男,1980.0,1978.0,吉炳轩,河南,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-5.html
65.0,1953.0,大学,维吾尔族,男,1980.0,1971.0,艾力更·依明巴海,新疆,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-6.html
62.0,1956.0,研究生,汉族,男,,1974.0,万鄂湘,湖北,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-7.html
65.0,1953.0,研究生,汉族,男,,1970.0,陈竺,江苏,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-8.html
67.0,1951.0,研究生,藏族,男,1970.0,1969.0,白玛赤林,西藏,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-10.html
62.0,1956.0,研究生,汉族,男,,1971.0,郝明金,山东,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-12.html
58.0,1960.0,研究生,汉族,男,,1985.0,蔡达峰,浙江,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-13.html
62.0,1956.0,研究生,汉族,男,,1974.0,武维华,山西,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-14.html
63.0,1955.0,研究生,汉族,男,1975.0,1978.0,杨振武,河北,central government,http://cpc.people.com.cn/n1/2018/0318/c64094-29873799-15.html
70.0,1948.0,大学,汉族,男,1983.0,1969.0,王岐山,山西,central government,http://cpc.people.com.cn/n1/2018/0317/c64094-29873551.html
64.0,1954.0,大学,汉族,男,1972.0,,魏凤和,山东,central government,http://cpc.people.com.cn/n1/2018/0320/c64094-29877085.html
