year,location,location_lat,location_lng,name,location_english
1969-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王晨,王岐山",Shaanxi
1970-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王晨,王岐山",Shaanxi
1971-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王晨,王岐山",Shaanxi
1972-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王晨,王岐山",Shaanxi
1973-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王晨,王岐山",Shaanxi
1974-01-01,陕西,35.86002626132277,109.50378929072508,"习近平,王岐山,艾力更·依明巴海,柯尊平",Shaanxi
1975-01-01,陕西,35.86002626132277,109.50378929072508,"王岐山,艾力更·依明巴海,柯尊平",Shaanxi
1976-01-01,陕西,35.86002626132277,109.50378929072508,"王岐山,艾力更·依明巴海,柯尊平",Shaanxi
1977-01-01,陕西,35.86002626132277,109.50378929072508,王岐山,Shaanxi
1978-01-01,陕西,35.86002626132277,109.50378929072508,王岐山,Shaanxi
1979-01-01,陕西,35.86002626132277,109.50378929072508,"杨培君,王东峰",Shaanxi
1980-01-01,陕西,35.86002626132277,109.50378929072508,"任军号,杨培君,王东峰",Shaanxi
1981-01-01,陕西,35.86002626132277,109.50378929072508,"任军号,杨培君,王东峰",Shaanxi
1982-01-01,陕西,35.86002626132277,109.50378929072508,"魏增军,任军号,杨培君,赵乐秦,王东峰",Shaanxi
1983-01-01,陕西,35.86002626132277,109.50378929072508,"魏增军,任军号,杨培君,赵乐秦,王东峰,艾尔肯·吐尼亚孜",Shaanxi
1984-01-01,陕西,35.86002626132277,109.50378929072508,"陆治原,魏增军,陈国强,任军号,杨培君,赵乐秦,王东峰,肖开提·依明,艾尔肯·吐尼亚孜,王江,易炼红",Shaanxi
1985-01-01,陕西,35.86002626132277,109.50378929072508,"陆治原,魏增军,陈国强,任军号,杨培君,赵乐秦,王东峰,肖开提·依明,艾尔肯·吐尼亚孜,王莉霞,王江,易炼红",Shaanxi
1986-01-01,陕西,35.86002626132277,109.50378929072508,"王建军,陆治原,魏增军,陈国强,任军号,杨培君,赵乐秦,王东峰,艾尔肯·吐尼亚孜,王莉霞,王江,易炼红",Shaanxi
1987-01-01,陕西,35.86002626132277,109.50378929072508,"王建军,陆治原,魏增军,陈国强,李春临,任军号,杨培君,赵乐秦,王东峰,王莉霞,王江",Shaanxi
1988-01-01,陕西,35.86002626132277,109.50378929072508,"王建军,陆治原,魏增军,陈国强,李春临,任军号,杨培君,赵乐秦,王东峰,王莉霞",Shaanxi
1989-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,王莉霞",Shaanxi
1990-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,王莉霞",Shaanxi
1991-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,王莉霞",Shaanxi
1992-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞",Shaanxi
1993-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞",Shaanxi
1994-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,景俊海,王莉霞",Shaanxi
1995-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,景俊海,王莉霞",Shaanxi
1996-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,王建军,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞",Shaanxi
1997-01-01,陕西,35.86002626132277,109.50378929072508,"方红卫,陆治原,魏增军,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞",Shaanxi
1998-01-01,陕西,35.86002626132277,109.50378929072508,"栗战书,方红卫,王建军,陆治原,魏增军,李智远,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞,高键",Shaanxi
1999-01-01,陕西,35.86002626132277,109.50378929072508,"栗战书,方红卫,王建军,陆治原,魏增军,李智远,岳亮,陈国强,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞,于绍良",Shaanxi
2000-01-01,陕西,35.86002626132277,109.50378929072508,"栗战书,薛占海,方红卫,王建军,陆治原,魏增军,李智远,岳亮,李春临,任军号,赵乐秦,景俊海,王莉霞,于绍良",Shaanxi
2001-01-01,陕西,35.86002626132277,109.50378929072508,"栗战书,李明远,方红卫,王建军,陆治原,魏增军,李智远,岳亮,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞,于绍良",Shaanxi
2002-01-01,陕西,35.86002626132277,109.50378929072508,"栗战书,李明远,方红卫,王建军,陆治原,魏增军,李智远,岳亮,李春临,任军号,赵乐秦,王东峰,景俊海,王莉霞,于绍良",Shaanxi
