Name,Director,Genre,Country,Release_Year,Runtime,Section,Synopsis,ReadMore,Tag,Image
BACK ROADS,Alex Pettyfer,"['Drama', 'First Time Filmmaker', 'Female Screenwriter(s)']",[['USA']],2018,101 minutes,Spotlight Narrative,"A young man cares for his sisters after their mother is imprisoned for murdering their abusive father. When he strikes up an affair with a married woman, long-dormant family secrets bubble to the surface in this noir thriller. ",/filmguide/back-roads-2018,"['TFF 2018', 'Narrative', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9642bdaeedf008742a0dc/medium_BACKROADS__JARIN_BLASCHKE__1.jpg
BAD PETER,Zach Strauss,"['Comedy', 'Drama', 'Science Fiction']",[['USA']],2018,9 minutes,Shorts,"An expectant mother is forced into a humiliating birthing regimen by her automated personal assistant, which thinks it knows what’s best for her and her unborn child.",/filmguide/bad-peter-2018,"['TFF 2018', 'Narrative', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96416daeedf0087429ea7/medium_BADPETER__Noah-Greenberg__1.jpg
BAO,Domee Shi,['Animation'],[['USA']],2018,8 minutes,Shorts,An empty-nesting Chinese mom gets another chance at motherhood when one of her dumplings springs to life. But she must come to terms with the bittersweet revelation that nothing stays cute and small forever.,/filmguide/bao-2018,"['TFF 2018', 'Narrative', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96439daeedf008742a2b1/medium_HOLD-Bao__PixarAnimationStudios__1920x1080.jpg
BATHTUBS OVER BROADWAY,Dava Whisenant,"['New York', 'Comedy', 'Documentary', 'Music', 'Female Director(s)', 'First Time Filmmaker', 'Female Screenwriter(s)']",[['USA']],2018,87 minutes,Special Screenings,"Comedy writer Steve Young’s assignment to scour bargain-bin vinyl for a Late Night segment becomes an unexpected, decades-spanning obsession when he stumbles upon the strange and hilarious world of industrial musicals in this musical-comedy-documentary.",/filmguide/bathtubs-over-broadway-2018,"['TFF 2018', 'Documentary', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9641bdaeedf0087429f2c/medium_BATHTUBSOVERBROADWAY__NICK_HIGGINS__1.jpg
BATTLESCAR,Data Missing,"['New York', 'Animation', 'Latino Director(s)']","[['USA'], ['France']]",2018,9 minutes,Virtual Arcade,"After Lupe, a Puerto Rican runaway, meets Debbie in the cell of a juvenile detention center, she is introduced to the punk scene of the Lower East Side and the secret world of Alphabet City. BattleScar is a coming of age drama set in 1978 New York that explores identity and empowerment through stunning animation and immersive environments.",/filmguide/battlescar-2018,['TFF 2018'],https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96441daeedf008742a3ab/medium_BattleScar_1.jpg
BETHANY HAMILTON: UNSTOPPABLE,Aaron Lieber,"['Documentary', 'Sports', 'First Time Filmmaker']",[['USA']],2018,98 minutes,Spotlight Documentary,"One of the most fearless and accomplished athletes of her generation, Bethany Hamilton became a surfing wunderkind when she returned to the sport following a devastating shark attack at age 13. Now she faces her biggest challenge yet: motherhood. ",/filmguide/bethany-hamilton-unstoppable-2018,"['TFF 2018', 'Documentary', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9642edaeedf008742a151/medium_BETHANY-HAMILTON---UNSTOPPABLE_AARON_LIEBER_02-1920x1080.png
BIG ELVIS,Paul Stone,"['Comedy', 'Music', 'NY Director(s)', 'Tribeca Film Festival Alumni']",[['USA']],2018,12 minutes,Shorts,A 960-pound Elvis impersonator becomes convinced he is Elvis Presley's secret love child.,/filmguide/big-elvis-2018,"['TFF 2018', 'Documentary', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96423daeedf0087429ff7/medium_BIG-Elvis-_Pete-Vallee-Collection_-1.jpg
BIIDAABAN: FIRST LIGHT,Data Missing,"['Experimental', 'Female Director(s)']",[['Canada']],2018,7 minutes,Storyscapes,"The town square has flooded, buildings and subways have merged with local flora, and indigenous languages and knowledge are thriving in a radically different future Toronto. Here, in the future, people have found a connection to the past.  As a work of indigenous futurism, Biidaaban explores how the languages of native peoples can provide a framework for understanding our place in the world and open up a space for new imaginings of the future.",/filmguide/biidaaban-first-light-2018,['TFF 2018'],https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96441daeedf008742a39f/medium_Biidaaban__Mathew_Borrett__1.jpg
BLACK LABEL,David Vergés,['Comedy'],[['Spain']],2017,11 minutes,Shorts,"Erik is a night-shift employee from a lonely gas station; Alex is a regular at the shop. One night, something happens that gives them the opportunity to discover who they really are. ",/filmguide/black-label-2018,"['TFF 2018', 'Narrative', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96416daeedf0087429ea0/medium_Black-Label__Roger-Llonch__1.jpg
THE BLEEDING EDGE,Kirby Dick,['Environmental'],[['USA']],2018,99 minutes,Spotlight Documentary,"Each year in the United States, unparalleled innovations in medical diagnostics, treatment, and technology hit the market.  But when the same devices designed to save patients end up harming them, who is accountable?",/filmguide/bleeding-edge-2018,"['TFF 2018', 'Documentary', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9642cdaeedf008742a0fc/medium_TheBleedingEdge-1920x1080.jpg
BLIND AUDITION,Andreas Kessler,"['Drama', 'Music']",[['Germany']],2017,17 minutes,Shorts,"When violinists and partners Ari and Ron both get invited to audition for the same solo part in an orchestra, their relationship is put to the ultimate test. ",/filmguide/blind-audition-2018,"['TFF 2018', 'Narrative', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96407daeedf0087429d26/medium_BLIND-AUDITION__MANUEL_MEINHARDT__1.jpg
BLOWIN' UP,Stephanie Wang-Breal,"['New York', 'Experimental', 'Documentary', 'Female Director(s)', 'NY Director(s)', 'Female Screenwriter(s)', 'Asian American Director(s)']",[['USA']],2018,94 minutes,Documentary Competition,"In a courtroom in Queens, women facing prostitution charges may earn a chance at redemption thanks to an experimental program established by a team of rebel heroines working to change the system. ",/filmguide/blowin-up-2018,"['TFF 2018', 'Documentary', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96425daeedf008742a021/medium_BLOWIN_UP_ERIK_SHIRAI_1.jpg
BLUE NIGHT,Fabien Constant,"['New York', 'Drama', 'Music', 'First Time Filmmaker', 'Female Screenwriter(s)']",[['USA']],2018,90 minutes,Spotlight Narrative,A devastating doctor’s visit sends an accomplished singer reeling through the streets of New York City in this French New Wave-inspired drama.,/filmguide/blue-night-2018,"['TFF 2018', 'Narrative', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96431daeedf008742a1af/medium_Blue_Night_Paul_Schiraldi_1.jpg
BLUE NOTE RECORDS: BEYOND THE NOTES,Sophie Huber,"['Documentary', 'Music', 'Female Director(s)']","[['Switzerland'], ['USA']]",2018,85 minutes,Special Screenings,"This is the history of Blue Note Records, the label that, since 1939, has recorded jazz giants ranging from Miles Davis to Robert Glasper—revolutionizing not only music, but also the world. ",/filmguide/blue-note-records-beyond-the-notes-2018,"['TFF 2018', 'Documentary', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9642bdaeedf008742a0e7/medium_PREFERRED-Akinmusire1-1920x1080.jpg
BOBBY KENNEDY FOR PRESIDENT,Dawn Porter,"['Documentary', 'Drama']",[['USA']],2018,60 minutes,Tribeca TV,"Acclaimed director Dawn Porter reveals anew what America gained and what it lost in the life, vision, politics, and hope of Bobby Kennedy.",/filmguide/bobby-kennedy-for-president-2018,"['TFF 2018', 'Documentary']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5ab2741cdaeedf3081135186/medium_Bobby-Kennedy__Courtesy-of-Netflix__01.jpg
BRAID,Mitzi Peirone,"['Drama', 'Thriller', 'First Time Filmmaker']",[['USA']],2018,82 minutes,Midnight,"Two drug dealers on the lam seek refuge inside their mentally unstable friend’s mansion. But in order to stay, they have to participate in her elaborate, and increasingly dangerous, game of permanent make-believe. ",/filmguide/braid-2018,"['TFF 2018', 'Narrative', 'Feature']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa96428daeedf008742a091/medium_Braid__Todd-Banhazl__1-1920x1080.jpg
BROOKLYN BREEZE,Alex Budovsky,['Animation'],[['USA']],2017,4 minutes,Shorts,"Brooklyn Breeze is a visual journey through different parts of Brooklyn, some of the iconic spots and others not often seen by the visitors, based on a tune recorded by New York based Michael Arenella and his Dreamland Orchestra.",/filmguide/brooklyn-breeze-2018,"['TFF 2018', 'Narrative', 'Short']",https://s3.amazonaws.com/tribeca_cms_production/uploads/film/photo_1/5aa9640adaeedf0087429d77/medium_Brooklyn-Breeze__Alex-Budovsky__1.jpg
